Reading data files.[    0.04]
Creating Temoa model instance.[    0.53]
Solving.[    0.77]
Calculating reporting variables and formatting results.[    1.06]
Model name: The Temoa Energy System Model
Objective function value (TotalCost): 28790.1570536
Non-zero variable values:
      0.03634669244101924     V_Activity[2017,spring,17,IMPSOLAR,2017]
      0.011399983002205674    V_Activity[2017,spring,17,LOCAL,2017]
      0.012258046238930832    V_Activity[2017,spring,17,TRANS,2017]
      0.011165854099556501    V_Activity[2017,spring,18,DIST,2017]
      0.01277265396883608     V_Activity[2017,spring,18,EC_SOLPV,2017]
      0.035600216659915335    V_Activity[2017,spring,18,IMPSOLAR,2017]
      0.011165854099556501    V_Activity[2017,spring,18,LOCAL,2017]
      0.012006294730705915    V_Activity[2017,spring,18,TRANS,2017]
      0.011009258419919857    V_Activity[2017,spring,19,DIST,2017]
      0.009906521250271486    V_Activity[2017,spring,19,EC_SOLPV,2017]
      0.002426717091725804    V_Activity[2017,spring,19,ED_BATT,2017]
      9.906521250271486e-05   V_Activity[2017,spring,19,ED_SOLPV,2017]
      0.027887786418810855    V_Activity[2017,spring,19,IMPSOLAR,2017]
      0.011009258419919857    V_Activity[2017,spring,19,LOCAL,2017]
      0.009312129975255197    V_Activity[2017,spring,19,TRANS,2017]
      0.010892732177697255    V_Activity[2017,spring,20,DIST,2017]
      0.001203972707509396    V_Activity[2017,spring,20,EC_SOLPV,2017]
      0.010568841172701831    V_Activity[2017,spring,20,ED_BATT,2017]
      1.2039727075093962e-05  V_Activity[2017,spring,20,ED_SOLPV,2017]
      0.003389296088188306    V_Activity[2017,spring,20,IMPSOLAR,2017]
      0.010892732177697255    V_Activity[2017,spring,20,LOCAL,2017]
      0.0011317343450588323   V_Activity[2017,spring,20,TRANS,2017]
      0.010684763755226229    V_Activity[2017,spring,21,DIST,2017]
      0.0010559607560017387   V_Activity[2017,spring,21,EC_SOLPV,2017]
      0.010485830566987842    V_Activity[2017,spring,21,ED_BATT,2017]
      1.0559607560017387e-05  V_Activity[2017,spring,21,ED_SOLPV,2017]
      0.0029726285631513187   V_Activity[2017,spring,21,IMPSOLAR,2017]
      0.010684763755226229    V_Activity[2017,spring,21,LOCAL,2017]
